decimalLongitude,decimalLatitude,presence,cropped_bioclim_stack,wc2.1_5m_bio_1,wc2.1_5m_bio_10,wc2.1_5m_bio_11,wc2.1_5m_bio_12,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_16,wc2.1_5m_bio_17,wc2.1_5m_bio_18,wc2.1_5m_bio_19,wc2.1_5m_bio_2,wc2.1_5m_bio_3,wc2.1_5m_bio_4,wc2.1_5m_bio_5,wc2.1_5m_bio_6,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9
-88.93,38.3,1,12.854042053222656,12.854042053222656,24.313833236694336,0.3813333809375763,1063.0,113.0,59.0,18.711994171142578,324.0,212.0,268.0,212.0,11.710582733154297,30.943540573120117,963.5179443359375,31.548999786376953,-6.296000003814697,37.845001220703125,12.7301664352417,0.3813333809375763
-89.93,39.26,1,11.740124702453613,11.740124702453613,23.5396671295166,-1.2666666507720947,970.0,110.0,45.0,23.52191925048828,303.0,166.0,273.0,166.0,11.540249824523926,29.812833786010742,999.7462768554688,30.73400115966797,-7.974999904632568,38.70899963378906,17.282333374023438,-1.2666666507720947
-89.76,40.79,1,10.19837474822998,10.19837474822998,22.557666778564453,-3.5178332328796387,935.0,102.0,37.0,29.596729278564453,303.0,135.0,289.0,135.0,11.44991683959961,28.46184730529785,1049.3929443359375,29.844999313354492,-10.383999824523926,40.229000091552734,20.43833351135254,-3.5178332328796387
-89.37,40.13,1,11.141458511352539,11.141458511352539,23.323665618896484,-2.3560001850128174,959.0,111.0,41.0,27.826766967773438,315.0,150.0,298.0,150.0,11.634916305541992,29.3248233795166,1035.4371337890625,30.572999954223633,-9.10300064086914,39.676002502441406,21.346834182739258,-2.3560001850128174
-88.97,39.86,1,11.557083129882812,11.557083129882812,23.672832489013672,-1.7741667032241821,997.0,111.0,47.0,25.14944839477539,320.0,168.0,306.0,168.0,11.703999519348145,29.61688232421875,1026.0338134765625,31.086000442504883,-8.432000160217285,39.518001556396484,21.668832778930664,-1.7741667032241821
-89.66,39.76,1,11.918041229248047,11.918041229248047,24.147666931152344,-1.5558334589004517,931.0,106.0,42.0,25.314151763916016,296.0,153.0,278.0,153.0,11.526582717895508,29.06130027770996,1033.4593505859375,31.421998977661133,-8.241000175476074,39.66299819946289,17.666166305541992,-1.5558334589004517
-88.09,38.72,1,12.540457725524902,12.540457725524902,24.10333251953125,-0.06899992376565933,1108.0,116.0,63.0,18.821985244750977,332.0,218.0,293.0,218.0,11.604249954223633,30.603540420532227,972.8235473632812,31.321998596191406,-6.595999717712402,37.917999267578125,12.408666610717773,-0.06899992376565933
-88.16,39.02,1,12.018583297729492,12.018583297729492,23.657001495361328,-0.7228332757949829,1053.0,107.0,57.0,19.3922176361084,314.0,202.0,295.0,202.0,11.268500328063965,29.688323974609375,981.1177368164062,30.743000030517578,-7.2129998207092285,37.95600128173828,21.63050079345703,-0.7228332757949829
-91.2,39.99,1,11.222042083740234,11.222042083740234,23.51850128173828,-2.2739999294281006,990.0,116.0,34.0,33.31643295288086,327.0,132.0,302.0,132.0,11.03125,28.05791473388672,1037.130615234375,30.520999908447266,-8.795000076293945,39.316001892089844,21.442333221435547,-2.2739999294281006
-89.91,38.83,1,12.373458862304688,12.373458862304688,24.09716796875,-0.42133334279060364,973.0,104.0,50.0,19.708938598632812,295.0,182.0,271.0,182.0,11.35391616821289,29.6818904876709,986.955810546875,31.128999710083008,-7.123000144958496,38.25199890136719,17.79083251953125,-0.42133334279060364
-87.82,41.84,1,10.198416709899902,10.198416709899902,22.602500915527344,-3.138166666030884,942.0,104.0,40.0,27.05000877380371,300.0,149.0,300.0,149.0,10.54283332824707,27.056493759155273,1036.9317626953125,29.534000396728516,-9.432000160217285,38.965999603271484,22.602500915527344,-3.138166666030884
-89.12,37.23,1,13.845916748046875,13.845916748046875,24.844165802001953,1.9779999256134033,1212.0,128.0,79.0,15.940454483032227,368.0,262.0,287.0,279.0,11.557000160217285,31.66908836364746,921.4942626953125,31.799999237060547,-4.692999839782715,36.49300003051758,13.645500183105469,20.355499267578125
-90.4390389525879,42.4195444972221,0,8.466750144958496,8.466750144958496,21.46233367919922,-5.942500114440918,870.0,109.0,28.0,40.41651153564453,313.0,98.0,313.0,98.0,11.333833694458008,27.13520622253418,1103.9927978515625,28.76300048828125,-13.005000114440918,41.768001556396484,21.46233367919922,-5.942500114440918
